extra/gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1 [installed]
extra/gsfonts 20160531-3 [installed]
extra/gsm 1.0.16-1 [installed]
extra/gspell 1.2.1-1 [installed]
extra/gst-libav 1.10.2-1 [installed]
extra/gst-plugins-base 1.10.2-1 [installed]
extra/gst-plugins-base-libs 1.10.2-1 [installed]
extra/gst-plugins-good 1.10.2-1 [installed]
extra/gstreamer 1.10.2-1 [installed]
extra/gtk-sharp-2 2.12.42-1 [installed]
extra/gtk-update-icon-cache 3.22.7-2 [installed]
extra/gtk2 2.24.31-1 [installed]
extra/gtk3 3.22.7-2 [installed]
extra/gtkmm3 3.22.0-1 [installed]
extra/gtksourceview3 3.22.2-1 [installed]
extra/guile 2.0.13-2 [installed]
extra/gv 3.7.4-3 [installed]
core/gzip 1.8-2 (base base-devel) [installed]
extra/harfbuzz 1.4.2-1 [installed]
extra/harfbuzz-icu 1.4.2-1 [installed]
extra/hddtemp 0.3.beta15.52-2 [installed]
extra/hdf5 1.10.0_patch1-1 [installed]
extra/hicolor-icon-theme 0.15-1 [installed]
extra/hspell 1.3-1 [installed]
extra/htop 2.0.2-1 [installed]
community/hub 2.2.9-1 [installed]
extra/hunspell 1.5.4-1 [installed]
core/hwids 20161103-1 [installed]
extra/hwloc 1.11.5-1 [installed]
extra/hyphen 2.8.8-1 [installed]
core/iana-etc 20161101-1 [installed]
extra/icedtea-web 1.6.2-2 [installed]
community/icoutils 0.31.1-1 [installed]
core/icu 58.2-1 [installed]
extra/ijs 0.35-1 [installed]
extra/ilmbase 2.2.0-2 [installed]
extra/imagemagick 6.9.7.5-1 [installed]
extra/imagemagick-doc 6.9.7.5-1 [installed]
extra/imlib2 1.4.9-1 [installed]
core/inetutils 1.9.4-5 (base) [installed]
extra/iniparser 4.0-2 [installed]
extra/inputproto 2.3.2-1 [installed]
extra/intel-tbb 2017_20161128-1 [installed]
extra/intel-ucode 20161104-1 [installed]
core/iproute2 4.9.0-1 (base) [installed]
core/iptables 1.6.0-1 [installed]
core/iputils 20161105.1f2bb12-1 (base) [installed]
extra/iso-codes 3.70-1 [installed]
extra/jack 0.125.0-3 [installed]
extra/jasper 2.0.10-1 [installed]
extra/java-runtime-common 2-2 [installed]
extra/jbig2dec 0.13-1 [installed]
core/jfsutils 1.1.15-4 (base) [installed]
extra/jre7-openjdk 7.u111_2.6.7-1 [installed]
extra/jre7-openjdk-headless 7.u111_2.6.7-1 [installed]
extra/js 24.2.0-4 [installed]
extra/json-glib 1.2.2+4+gd725fb5-1 [installed]
core/kbd 2.0.4-1 [installed]
extra/kbproto 1.0.7-1 [installed]
core/keyutils 1.5.9-1 [installed]
core/kmod 23-1 [installed]
core/krb5 1.13.7-1 [installed]
extra/ladspa 1.13-6 [installed]
extra/lame 3.99.5-3 [installed]
extra/lapack 3.7.0-1 [installed]
extra/lasem 0.4.3-2 [installed]
extra/lcms2 2.8-1 [installed]
extra/ldb 1.1.29-1 [installed]
core/ldns 1.7.0-2 [installed]
core/less 487-1 (base) [installed]
multilib/lib32-acl 2.2.52-2 [installed]
multilib/lib32-alsa-lib 1.1.3-1 [installed]
multilib/lib32-alsa-plugins 1.1.1-1 [installed]
